target,aliases_in_object,definitional_descendants_removed,same_quantity_siblings_removed,surviving_deterministic_restatement,evidence,method,C9_pass
bt,0,0,0,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ip,0,0,0,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
vsurf,0,0,0,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
density,0,0,0,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
prmtan_neped,0,0,0,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
prmtan_teped,0,0,0,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
fs04,0,0,3,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
fs03da,0,0,3,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
fs04da,0,0,3,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
fs05da,0,0,3,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece1,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece2,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece3,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece4,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece5,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece6,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece7,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece8,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
