claim_id,manuscript,section,claim,displayed_value,full_precision_value,metric_definition,population,scientific_task,source_run,canonical_artifact,field_or_column,reproduction_script,audit_status,notes
OBJ-01,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.1,62 DIII-D discharge realizations,62,62,count,observational object,shared,S7.1,03_DIII_D_SOURCE_OBJECT/observational_object_S7_1/reconciliation_final/S7_1_FINAL_FREEZE.json,n_shots,audit_s7.py,VERIFIED,
OBJ-02,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.1,95 source quantities,95,95,count,observational object,shared,S7.1,03_DIII_D_SOURCE_OBJECT/observational_object_S7_1/reconciliation_final/FINAL_SIGNAL_INVENTORY.csv,row count / n_signals,audit_s7.py,VERIFIED,
OBJ-03,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.1,"5,890 signal-discharge pairs",5890,5890,62 x 95,observational object,shared,S7.1,03_DIII_D_SOURCE_OBJECT/observational_object_S7_1/availability_matrix.csv,derived product,audit_s7.py,VERIFIED,Derived as n_shots x n_signals; availability matrix carries the per-pair finite fraction.
DESC-01,SIR_paper_2026-09-02.pdf (STALE),Results 1.5; Supplement S7.4,pooled descriptive-fit RMSE,5.76e-2,0.05758467247445343,"sqrt(sum_j sum_k e^2 / sum_j N_j), standardized target",62 discharges x 1000 samples,q_desc,D3D-SIR-62-ALIGNED-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/canonical_run/d3d_pooled_metrics.json,pooled_rmse,verify_paper_data.py,VERIFIED,
DESC-02,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.4,cohort-mean coefficient-vector RMSE,0.413,0.4125238315775986,pooled RMSE applying the cohort-mean vector,62 discharges,q_desc,D3D-SIR-62-ALIGNED-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/canonical_run/d3d_pooled_metrics.json,mean_vector_pooled_rmse,verify_paper_data.py,VERIFIED,"Demonstrates that the reported 0.0576 is a discharge-specific coefficient fit on a shared support, not one universal equation."
DESC-03,SIR_paper_2026-09-02.pdf (STALE),Results 1.5; Supplement S7.3,shared seven-coordinate descriptive support,7 coordinates,7,support size,62 discharges,q_desc,D3D-SIR-62-ALIGNED-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/canonical_run/d3d_discharge_coefficients.csv,coef_* columns,verify_paper_data.py,VERIFIED,
DESC-04,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.7,coefficient identifiability verdict,mixed,D3D-MIXED-COEFFICIENT-IDENTIFIABILITY,categorical verdict,62 discharges,q_desc,D3D-SIR-62-COEFFICIENT-CONDITIONING-CORRECTION-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/coefficient_conditioning/Correction_audit/outputs/coefficient_conditioning_correction_summary.json,corrected_overall_verdict,run_correction_audit.py,VERIFIED,
DESC-05,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.7,"five coefficients robustly resolved, two uncertainty-dominated",5 / 2,5 / 2,classification count,7 coefficients,q_desc,D3D-SIR-62-COEFFICIENT-CONDITIONING-CORRECTION-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/coefficient_conditioning/Correction_audit/tables/corrected_coefficient_classification.csv,corrected_status,run_correction_audit.py,VERIFIED,
DESC-06,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.7.4,two robust multivariate coefficient-space directions of five positive,2 of 5,2 of 5,eigenvalue count,7x7 covariance,q_desc,D3D-SIR-62-COEFFICIENT-CONDITIONING-CORRECTION-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/coefficient_conditioning/Correction_audit/tables/d3d_multivariate_eigenvalue_intervals.csv,status,run_correction_audit.py,VERIFIED,"5,000 discharge-bootstrap and 5,000 matched-null replicates."
DESC-07,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.7.2,rank-6 truncation perturbation,0.799 / 0.031,0.7993154563548318 / 0.031029606819801332,median relative coefficient change / median absolute RMSE change,62 discharges,q_desc,D3D-SIR-62-COEFFICIENT-CONDITIONING-CORRECTION-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/coefficient_conditioning/Correction_audit/outputs/coefficient_conditioning_correction_summary.json,median_coefficient_change_rank6 / median_rmse_change_rank6,run_correction_audit.py,VERIFIED,
DESC-08,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.6,implicit-closure conditioning verdict,ill-conditioned,D3D-IMPLICIT-CLOSURE-EXPLICITLY-ILL-CONDITIONED,categorical verdict,62 discharges,q_desc,D3D-SIR-62-IMPLICIT-CLOSURE-CONDITIONING-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/implicit_elimination_audit/outputs/implicit_conditioning_summary.json,overall_verdict,run_implicit_conditioning_audit.py,VERIFIED,
DESC-09,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.6,minimum |A| after elimination,2.6e-7,2.6428213717455407e-07,min over pooled samples,"62,000 samples",q_desc,D3D-SIR-62-IMPLICIT-CLOSURE-CONDITIONING-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/implicit_elimination_audit/outputs/eliminated_A_summary.json,min_abs_pooled,run_implicit_conditioning_audit.py,VERIFIED,
DESC-10,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.6,fraction of samples with |A| < 1e-4,not stated in manuscript,0.0023548387096774194,fraction,"62,000 samples",q_desc,D3D-SIR-62-IMPLICIT-CLOSURE-CONDITIONING-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/implicit_elimination_audit/outputs/eliminated_A_summary.json,"frac_abs_lt[""0.0001""]",run_implicit_conditioning_audit.py,VERIFIED,"An audit briefing expected ~41%. The canonical value is 0.24%. 0.4125 is the cohort-mean-vector RMSE, not this fraction."
DESC-11,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.6,shift-value range,14.64-24.24,14.643161791053483 - 24.2426158353731,per-discharge shiftval,62 discharges,q_desc,D3D-SIR-62-IMPLICIT-CLOSURE-CONDITIONING-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/implicit_elimination_audit/outputs/shift_recovery_diagnostics.json,shiftval_min / shiftval_max,run_implicit_conditioning_audit.py,VERIFIED,
DESC-12,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.6,elimination identity error,machine precision,7.896461262646426e-15,max |A*y - B - eps|,"62,000 samples",q_desc,D3D-SIR-62-IMPLICIT-CLOSURE-CONDITIONING-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/implicit_elimination_audit/outputs/elimination_identity_validation.json,max_identity_error,run_implicit_conditioning_audit.py,VERIFIED,
DESC-13,SIR_paper_2026-09-02.pdf (STALE),Supplement S7.6,explicit-closure pooled RMSE,not stated,187.2273661101626,pooled RMSE of the explicit form,62 discharges,q_desc,D3D-SIR-62-IMPLICIT-CLOSURE-CONDITIONING-V1,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/implicit_elimination_audit/outputs/explicit_closure_summary.json,pooled_rmse,run_implicit_conditioning_audit.py,VERIFIED,
REC-01,SIR_paper_2026-09-02.pdf (STALE),Supplement S7 (current lineage),q_rec target instance,density,density,categorical,62 discharges,q_rec,D3D-SIR-S7.3-...-SOURCE-RESOLUTION-V2,05_DIII_D_RECONSTRUCTION/01_Target_Selection_and_02_Information_Boundary/reconciliation_source_resolution/corrected_selected_target_boundary.csv,target_status == TARGET,audit_s7.py,VERIFIED_BUT_MANUSCRIPT_DISAGREES,The staged manuscript PDF still names I_p. That branch was retired; see 10_REFERENCED_HISTORICAL_LINEAGE.
REC-02,SIR_paper_2026-09-02.pdf (STALE),Supplement S7,78 admitted predictor primitives,78,78,count,95 quantities,q_rec,D3D-SIR-S7.3-...-SOURCE-RESOLUTION-V2,05_DIII_D_RECONSTRUCTION/01_Target_Selection_and_02_Information_Boundary/reconciliation_source_resolution/corrected_selected_target_boundary.csv,include_primary == True,audit_s7.py,VERIFIED,"17 excluded: 1 target, 1 numerical-support failure, 15 EFIT quantities fail-closed on unresolved ancestry."
REC-03,SIR_paper_2026-09-02.pdf (STALE),Supplement S7,hardened level basis of 70 primitives,70,70,count,78 admitted,q_rec,D3D-SIR-S7.5H-PRIMITIVE-SPACE-AND-ONTOLOGY-HARDENING-V1,05_DIII_D_RECONSTRUCTION/04_Initial_Ontology/05H_primitive_hardening/primitive_basis_hardened.csv,row count,audit_s7.py,VERIFIED,
REC-04,SIR_paper_2026-09-02.pdf (STALE),Supplement S7,"23,861 symbolic candidates","23,861",23861,count,symbolic space,q_rec,D3D-SIR-S7.5H-PRIMITIVE-SPACE-AND-ONTOLOGY-HARDENING-V1,05_DIII_D_RECONSTRUCTION/04_Initial_Ontology/05H_primitive_hardening/S7_5H_FREEZE.json,symbolic_primary_total,audit_s7.py,VERIFIED,
REC-05,SIR_paper_2026-09-02.pdf (STALE),Supplement S7,"10,778 admissible evaluated atoms","10,778",10778,count,admissible universe,q_rec,D3D-SIR-S7.6-ADMISSIBLE-UNIVERSE-HARDENED-V2,05_DIII_D_RECONSTRUCTION/04_Initial_Ontology/06_admissible_universe_10778/hardened_v2/primary_atomic_coordinate_universe.csv,row count,audit_s7.py,VERIFIED,
REC-06,SIR_paper_2026-09-02.pdf (STALE),Supplement S7,"explored frontier 162,845 supports","162,845",162845,count of explored supports,development cohort,q_rec,D3D-SIR-S7.7-...-V2,05_DIII_D_RECONSTRUCTION/06_Frozen_Parent_Support/S7_9_FREEZE.json,selection_domain_cardinality,audit_s7.py,VERIFIED,
REC-07,SIR_paper_2026-09-02.pdf (STALE),Supplement S7,support cap 12,12,12,max support size,search bound,q_rec,D3D-SIR-S7.2/S7.7,05_DIII_D_RECONSTRUCTION/00_Pretarget_Contract/SEARCH_BOUND_POLICY.md,"support_size_bound [1,12]",audit_s7.py,VERIFIED,
REC-08,SIR_paper_2026-09-02.pdf (STALE),Supplement S7,20 development / 42 protected discharges,20 / 42,20 / 42,cohort partition,62 discharges,q_rec,D3D-SIR-S7.2-RECONSTRUCTION-CONTRACT-V1,05_DIII_D_RECONSTRUCTION/00_Pretarget_Contract/COHORT_PARTITION.json,development / external shot_ids,audit_s7.py,VERIFIED,
REC-09,SIR_paper_2026-09-02.pdf (STALE),Supplement S7 (MISSING from manuscript),parent external qualification FAILED,not in manuscript,NO_QUALIFIED_NONTRIVIAL_STRUCTURAL_TRANSFER,categorical verdict,42 protected discharges,q_rec,D3D-SIR-S7.10-EXTERNAL-VALIDATION-AND-GATE-EVALUATION-V1,05_DIII_D_RECONSTRUCTION/07_Protected_Qualification_FAILURE/S7_10_FREEZE.json,primary_scientific_verdict,audit_s7.py,VERIFIED_MISSING_FROM_MANUSCRIPT,REL mean 0.742365 vs persistence 0.210274; Delta_1 = +0.532091. The negative result is preserved.
REC-10,SIR_paper_2026-09-02.pdf (STALE),Supplement S7,"range-support hardening to 3,451 atoms","3,451",3451,count at tau = 1,"10,778 atoms",q_rec,D3D-SIR-S7.K2-OBSERVATIONAL-RANGE-SUPPORT-CONTRACT-V1,05_DIII_D_RECONSTRUCTION/09_Range_Support_Case_B_Revision/range_support_threshold_sensitivity.csv,atoms_full_domain_62 at tau=1.0,_audit/verify_range_support.py,VERIFIED,tau = 1.0; revision_class = MINIMAL_P_ONLY.
