signal,signal_index,include_primary,target_status,provenance_status,source_supported_dt_min_ms,source_supported_dt_max_ms,archived_dt_median_ms,n_shots_upsampled,source_temporal_status,numerical_support_status,exclusion_rule,exclusion_reason,family,origin_class,units,units_status,aliasing_flag,derivative_qualification,description
bt,1,True,predictor_candidate,certified_independent_of_target,0.049988703789581326,0.49999999999999994,0.9999999999999999,0,SOURCE_CONSISTENT,PASS,,,magnetics,DIRECT_MEASUREMENT,T,resolved_partial,ALIASING_RISK,ALIASING_RISK on derivatives,Toroidal magnetic field
ip,2,True,predictor_candidate,certified_independent_of_target,0.049988703789581326,0.4999593727147152,1.0,0,SOURCE_CONSISTENT,PASS,,,magnetics,DIRECT_MEASUREMENT,A,resolved_spelling,ALIASING_RISK,ALIASING_RISK on derivatives,Plasma current
pcbcoil,3,True,predictor_candidate,certified_independent_of_target,0.049991799752228096,0.25001278186187587,0.9999999974752427,0,SOURCE_CONSISTENT,PASS,,,magnetics,DIRECT_MEASUREMENT,,uncalibrated,,standard,Plasma control B-coil signal (uncalibrated)
pcdiamag3,4,True,predictor_candidate,certified_independent_of_target,0.049991799752228096,0.25001278186187587,0.9999999974752427,0,SOURCE_CONSISTENT,PASS,,,magnetics,DIRECT_MEASUREMENT,,uncalibrated,,standard,Diamagnetic loop signal (uncalibrated)
vsurf,5,False,predictor_candidate,certified_independent_of_target,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,FAIL,PRIMARY_NUMERICAL_SUPPORT_FAIL,source-supported cadence forces an analysis grid that violates the frozen validation minima on at least one required discharge,magnetics,DIRECT_MEASUREMENT,V,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Surface loop voltage
aminor,6,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Plasma minor radius (EFIT)
area,7,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m^2,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Plasma poloidal cross-sectional area (EFIT)
betan,8,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Normalised beta
drsep,9,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Separatrix-to-separatrix distance (upper/lower balance)
kappa,10,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Plasma elongation
li,11,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Normalised internal inductance
q95,12,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Safety factor at the 95% flux surface
rmaxis,13,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Magnetic axis major radius
rsurf,14,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),"Plasma boundary geometric centre, major radius"
tribot,15,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Bottom triangularity
tritop,16,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Top triangularity
volume,17,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m^3,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Plasma volume
zcur,18,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Vertical position of the plasma current centroid
zmaxis,19,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Magnetic axis vertical position
zsurf,20,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),"Plasma boundary geometric centre, vertical position"
density,21,False,TARGET,certified_independent_of_target,0.9997563352826511,0.9998347926647944,1.0,0,SOURCE_CONSISTENT,PASS,R1_target_itself,the target itself,density,DIAGNOSTIC_RECONSTRUCTION,cm^-3,documented,,standard,Line-averaged electron density
prmtan_neped,22,True,predictor_candidate,certified_independent_of_target,4.378430226038927,13.267605633802816,10.0,3,UPSTREAM_UPSAMPLED,PASS,,,density,DIAGNOSTIC_RECONSTRUCTION,m^-3,documented,ALIASING_RISK,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Pedestal electron density from tanh fit
