signal_id,unit_hypothesis,producing_code_family,mathematical_definition,direct_upstream,indirect_upstream,shares_reconstruction_with_other_equilibrium_outputs,may_use_other_archived_equilibrium_quantity_internally,ip_appears_upstream,ip_evidence_note,suitable_for_target_independence_decision,lineage_status,why
aminor,m,UNRESOLVED,minor radius convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
area,m^2,UNRESOLVED,cross-sectional area convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
betan,%*m*T/MA,UNRESOLVED,standard beta_N convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,standard definition contains I_p explicitly (external convention),False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
kappa,1,UNRESOLVED,standard shape convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
li,1,UNRESOLVED,standard l_i convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
q95,1,UNRESOLVED,standard q95 convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,standard definition contains I_p explicitly (external convention),False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
volume,m^3,UNRESOLVED,plasma volume convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
drsep,m,UNRESOLVED,separatrix separation convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
tritop,1,UNRESOLVED,standard shape convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
tribot,1,UNRESOLVED,standard shape convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
rmaxis,m,UNRESOLVED,magnetic axis radius convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
zmaxis,m,UNRESOLVED,magnetic axis height convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
rsurf,m,UNRESOLVED,surface radius convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
zsurf,m,UNRESOLVED,surface height convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
zcur,m,UNRESOLVED,current centroid height convention,UNRESOLVED,UNRESOLVED,True,UNRESOLVED,STRONGLY_INFERRED_EXTERNAL,equilibrium reconstruction is normally constrained by measured I_p (external convention); not verified here,False,LINEAGE_PARTIAL,"group membership documented locally; producing code, inputs and constraints unresolved. Ancestry can be asserted only at group level."
