figure_id,filename_pdf,filename_svg,filename_png,description,source_script,input_tables,sha256_pdf,sha256_svg,sha256_png
actual_singular_direction_removal,actual_singular_direction_removal.pdf,actual_singular_direction_removal.svg,actual_singular_direction_removal.png,Retained rank under meaningful truncation,generate_correction_figures.py,corrected_tsvd_fixed_threshold.csv;corrected_tsvd_fixed_rank.csv,c0eadc2f80a19dc7dbaa14ad621ec3e5507835970e42ee8da2ac961a42cbffc7,43617624e1464781db2973c98fb6ecdcc8e7ed81ddac94a24019ce306a33db0b,542df583cde7ffa3cb20da8c2f1c186de3e7be89cbe316c24e55350709480d2f
coefficient_change_vs_rank_removed,coefficient_change_vs_rank_removed.pdf,coefficient_change_vs_rank_removed.svg,coefficient_change_vs_rank_removed.png,Coefficient vs RMSE change under fixed-rank truncation,generate_correction_figures.py,corrected_tsvd_fixed_rank.csv,8f1755ae7c694b28de3ba166b676f1b55f48c2d8dc299fbbe370d02bc7b725c7,7e8e2c08a774ac5dec3fd771a70291e18ffe5b55e62faacf9494d9c8fcd4f0b8,2ff791d6063023516fc51740f707c17a2eb24081e2642e0236487491a51d3740
ridge_path_coefficient_stability,ridge_path_coefficient_stability.pdf,ridge_path_coefficient_stability.svg,ridge_path_coefficient_stability.png,Ridge path stability,generate_correction_figures.py,d3d_ridge_path_per_discharge.csv,e048d6702feb8fafcb6068b7448e76db8a23d2135819311be8ad755b9ccb76dc,c3eff11d8347f465ba6057405014dba5192e4f105e89bb839a8e7ce7ae9ff95f,399e98e0bbd9a2c2fc94aa76e226198d1031c056a039fb1c374ff4bed760d89d
corrected_between_vs_within_variance,corrected_between_vs_within_variance.pdf,corrected_between_vs_within_variance.svg,corrected_between_vs_within_variance.png,Heterogeneity ratio by block length,generate_correction_figures.py,corrected_coefficient_heterogeneity_block_sensitivity.csv,b91558a360cbd2b72bb52fc457f67fde6fab606d320b2707a4970be8b8cbac2f,ce2e2a3d60ceeb1de1c0387e7488ac9adcb39cddc26d7f8f45868b3712581111,938f6d2bb88f273ad376bf27a68edb3f8e059d04f3c4650a8b7e40fcc0b7fc44
heterogeneity_interval_by_coefficient,heterogeneity_interval_by_coefficient.pdf,heterogeneity_interval_by_coefficient.svg,heterogeneity_interval_by_coefficient.png,REML tau2 intervals,generate_correction_figures.py,corrected_coefficient_heterogeneity_primary.csv,98d53f28a131050a61a6cfe059d624086b860edb8615addfc5c7d3b4328aa1ab,cc8246d371ff4cdc1b4890cc5bed0bb1e3e4e5a5967227a51140b99a4bf21854,7d6b63cd33dfedb0ab61c3a0ec251529592edb89176cbc275100d9b38d8128a4
leave_one_out_heterogeneity,leave_one_out_heterogeneity.pdf,leave_one_out_heterogeneity.svg,leave_one_out_heterogeneity.png,LOO tau2 sensitivity,generate_correction_figures.py,corrected_coefficient_heterogeneity_leave_one_out.csv,966c349bed197f7da9b0dfa18b4bb2800f5d8c4c41bca5780a5385c6def22497,755fdc72df8de99271cabbf2645621333676d70884fe7c3b97956dd7c977e4bb,b23cc8c26ddcd35ef5e27e9e8d9be184323988ccdd34c408dd190082ed885434
multivariate_eigenvalue_uncertainty,multivariate_eigenvalue_uncertainty.pdf,multivariate_eigenvalue_uncertainty.svg,multivariate_eigenvalue_uncertainty.png,Bootstrap intervals and null thresholds for eigenvalues,generate_correction_figures.py,d3d_multivariate_eigenvalue_intervals.csv,a7f9f01d2abc9950bb7d26cda1aec8b0c4998a762df64265fe2a226339e647c3,08a9c06b5bc8c4242939f88d82864fc75cf37664c388ee08bb3bac2c046b0ac3,f463bb233a32902a9ef331e4dfc4a0cac082d8f714323b6ba3fad889ee9f6214
robust_multivariate_direction_loadings,robust_multivariate_direction_loadings.pdf,robust_multivariate_direction_loadings.svg,robust_multivariate_direction_loadings.png,Loadings for robustly resolved directions,generate_correction_figures.py,d3d_multivariate_loading_intervals.csv,f71dd978177876bfe10aa55fdc2863403e44d99e7c48ba73153778c84f804089,7ec1430c7c219de10c0f7af053df9778fc302755de0119e183d48e9025dad524,996787337bfa791e1a589ba953ef2c10ac4782e55760de8f93881d022be9b1fb
corrected_coefficient_classification,corrected_coefficient_classification.pdf,corrected_coefficient_classification.svg,corrected_coefficient_classification.png,Corrected per-coefficient status counts,generate_correction_figures.py,corrected_coefficient_classification.csv,160273c2b097224658b53461bfdf0dfc951e250355930d6090f36c9042cebdcb,7a4309f873504ae71300543727501a941201f28a81922bebca82e42f855164bd,5c8f8f42f66f51d09ae180caaf0fbfaa210c1512f8f2f9934c8bb1499547aa92
conditioning_vs_corrected_uncertainty,conditioning_vs_corrected_uncertainty.pdf,conditioning_vs_corrected_uncertainty.svg,conditioning_vs_corrected_uncertainty.png,Bootstrap SD vs condition number,generate_correction_figures.py,d3d_conditioning_per_discharge.csv;d3d_bootstrap_coefficient_summary.csv,bd9083afde38e2a5b74a6664d79d114dc198a2edc6350ef61ace102f8e69f733,dd8117b56e18f3755492eec523cf335f84353b75df24ef5cb4bbf1559339bac6,ef9545da86016289caaa79fb4c2eeeb661249eeb2ed68866e6d220ded82b30cb
