signal_id,signal_group,source_classification,origin_evidence_class,units,scientific_description,notes
bt,magnetics,DIRECT_MEASUREMENT,STRONGLY_INFERRED,T,Toroidal magnetic field,"standard magnetic diagnostic with a documented physical unit; the local record does not document the sensor or compensation chain, so this remains inferred (U006)"
ip,magnetics,DIRECT_MEASUREMENT,STRONGLY_INFERRED,A,Plasma current,"standard magnetic diagnostic with a documented physical unit; the local record does not document the sensor or compensation chain, so this remains inferred (U006)"
pcbcoil,magnetics,DIRECT_MEASUREMENT,LOCAL_DOCUMENTED,,Plasma control B-coil signal (uncalibrated),"upstream units attribute is 'raw' -- uncalibrated digitiser output, i.e. an unprocessed sensor channel"
pcdiamag3,magnetics,DIRECT_MEASUREMENT,LOCAL_DOCUMENTED,,Diamagnetic loop signal (uncalibrated),"upstream units attribute is 'raw' -- uncalibrated digitiser output, i.e. an unprocessed sensor channel"
vsurf,magnetics,DIRECT_MEASUREMENT,STRONGLY_INFERRED,V,Surface loop voltage,"standard magnetic diagnostic with a documented physical unit; the local record does not document the sensor or compensation chain, so this remains inferred (U006)"
aminor,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_DOCUMENTED,m,Plasma minor radius (EFIT),description names EFIT explicitly
area,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_DOCUMENTED,m^2,Plasma poloidal cross-sectional area (EFIT),description names EFIT explicitly
betan,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,1,Normalised beta,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
drsep,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,m,Separatrix-to-separatrix distance (upper/lower balance),"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
kappa,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,1,Plasma elongation,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
li,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,1,Normalised internal inductance,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
q95,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,1,Safety factor at the 95% flux surface,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
rmaxis,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,m,Magnetic axis major radius,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
rsurf,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,m,"Plasma boundary geometric centre, major radius","equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
tribot,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,1,Bottom triangularity,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
tritop,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,1,Top triangularity,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
volume,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,m^3,Plasma volume,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
zcur,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,m,Vertical position of the plasma current centroid,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
zmaxis,equilibrium_shape,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,m,Magnetic axis vertical position,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
