path_id,lane,step,support_size,seed_id,seed_stratum,coordinate_ids,added_coordinate,proposed_from_stratum,J_search,rank_status,retained_on_path
M_P001,MAIN,1,1,ID(cerqtit6),C0:CER,ID(cerqtit6),ID(cerqtit6),C0:CER,0.7600385006725702,FULL_RANK,True
M_P002,MAIN,1,1,ID(prmtan_neped),C0:DEN,ID(prmtan_neped),ID(prmtan_neped),C0:DEN,0.49964948280582194,FULL_RANK,True
M_P003,MAIN,1,1,ID(ece39),C0:ECE,ID(ece39),ID(ece39),C0:ECE,0.8274946438678779,FULL_RANK,True
M_P004,MAIN,1,1,ID(fs03da),C0:FS,ID(fs03da),ID(fs03da),C0:FS,0.7102537791817808,FULL_RANK,True
M_P005,MAIN,1,1,ID(gasd),C0:GAS,ID(gasd),ID(gasd),C0:GAS,0.8755343029565335,FULL_RANK,True
M_P006,MAIN,1,1,ID(pcdiamag3),C0:MAG,ID(pcdiamag3),ID(pcdiamag3),C0:MAG,0.596620874977544,FULL_RANK,True
M_P007,MAIN,1,1,ID(pinj),C0:NBI,ID(pinj),ID(pinj),C0:NBI,0.5949472992383463,FULL_RANK,True
M_P008,MAIN,1,1,DOT(cerqrott3),C1:CER,DOT(cerqrott3),DOT(cerqrott3),C1:CER,1.0083458198214124,FULL_RANK,True
M_P009,MAIN,1,1,DOT(ece33),C1:ECE,DOT(ece33),DOT(ece33),C1:ECE,1.00375823445732,FULL_RANK,True
M_P010,MAIN,1,1,DOT(gasc),C1:GAS,DOT(gasc),DOT(gasc),C1:GAS,1.0189225056050495,FULL_RANK,True
M_P011,MAIN,1,1,DOT(ip),C1:MAG,DOT(ip),DOT(ip),C1:MAG,0.9814221658619028,FULL_RANK,True
M_P012,MAIN,1,1,DOT(pinj_33r),C1:NBI,DOT(pinj_33r),DOT(pinj_33r),C1:NBI,1.0163819349147682,FULL_RANK,True
M_P013,MAIN,1,1,"PROD(cerqtit8,cerqtit10)","C2:{CER,CER}","PROD(cerqtit8,cerqtit10)","PROD(cerqtit8,cerqtit10)","C2:{CER,CER}",0.8698054757791398,FULL_RANK,True
M_P014,MAIN,1,1,"PROD(prmtan_neped,cerqtit6)","C2:{CER,DEN}","PROD(prmtan_neped,cerqtit6)","PROD(prmtan_neped,cerqtit6)","C2:{CER,DEN}",0.6275946806488888,FULL_RANK,True
M_P015,MAIN,1,1,"PROD(ece39,cerqtit10)","C2:{CER,ECE}","PROD(ece39,cerqtit10)","PROD(ece39,cerqtit10)","C2:{CER,ECE}",0.8747680170434308,FULL_RANK,True
M_P016,MAIN,1,1,"PROD(fs03da,cerqtit11)","C2:{CER,FS}","PROD(fs03da,cerqtit11)","PROD(fs03da,cerqtit11)","C2:{CER,FS}",0.5932943345816499,FULL_RANK,True
M_P017,MAIN,1,1,"PROD(gasa,cerqtit6)","C2:{CER,GAS}","PROD(gasa,cerqtit6)","PROD(gasa,cerqtit6)","C2:{CER,GAS}",0.8465407924424714,FULL_RANK,True
M_P018,MAIN,1,1,"PROD(bt,cerqtit6)","C2:{CER,MAG}","PROD(bt,cerqtit6)","PROD(bt,cerqtit6)","C2:{CER,MAG}",0.7564033656258248,FULL_RANK,True
M_P019,MAIN,1,1,"PROD(pinj,cerqrott6)","C2:{CER,NBI}","PROD(pinj,cerqrott6)","PROD(pinj,cerqrott6)","C2:{CER,NBI}",0.6754318612129437,FULL_RANK,True
M_P020,MAIN,1,1,"PROD(prmtan_neped,prmtan_neped)","C2:{DEN,DEN}","PROD(prmtan_neped,prmtan_neped)","PROD(prmtan_neped,prmtan_neped)","C2:{DEN,DEN}",0.6481679926972337,FULL_RANK,True
M_P021,MAIN,1,1,"PROD(prmtan_neped,ece39)","C2:{DEN,ECE}","PROD(prmtan_neped,ece39)","PROD(prmtan_neped,ece39)","C2:{DEN,ECE}",0.6291568166734135,FULL_RANK,True
M_P022,MAIN,1,1,"PROD(prmtan_neped,fs04)","C2:{DEN,FS}","PROD(prmtan_neped,fs04)","PROD(prmtan_neped,fs04)","C2:{DEN,FS}",0.637479626949421,FULL_RANK,True
M_P023,MAIN,1,1,"PROD(prmtan_neped,gasc)","C2:{DEN,GAS}","PROD(prmtan_neped,gasc)","PROD(prmtan_neped,gasc)","C2:{DEN,GAS}",0.707272452907957,FULL_RANK,True
M_P024,MAIN,1,1,"PROD(ip,prmtan_neped)","C2:{DEN,MAG}","PROD(ip,prmtan_neped)","PROD(ip,prmtan_neped)","C2:{DEN,MAG}",0.49365425933189744,FULL_RANK,True
M_P025,MAIN,1,1,"PROD(prmtan_neped,pinj)","C2:{DEN,NBI}","PROD(prmtan_neped,pinj)","PROD(prmtan_neped,pinj)","C2:{DEN,NBI}",0.576427064502931,FULL_RANK,True
M_P026,MAIN,1,1,"PROD(ece37,ece39)","C2:{ECE,ECE}","PROD(ece37,ece39)","PROD(ece37,ece39)","C2:{ECE,ECE}",0.8891823015990046,FULL_RANK,True
M_P027,MAIN,1,1,"PROD(fs03da,ece39)","C2:{ECE,FS}","PROD(fs03da,ece39)","PROD(fs03da,ece39)","C2:{ECE,FS}",0.5743174894052181,FULL_RANK,True
M_P028,MAIN,1,1,"PROD(gasa,ece1)","C2:{ECE,GAS}","PROD(gasa,ece1)","PROD(gasa,ece1)","C2:{ECE,GAS}",0.9197731688614612,FULL_RANK,True
M_P029,MAIN,1,1,"PROD(ip,ece39)","C2:{ECE,MAG}","PROD(ip,ece39)","PROD(ip,ece39)","C2:{ECE,MAG}",0.8103913114762195,FULL_RANK,True
M_P030,MAIN,1,1,"PROD(pinj,ece36)","C2:{ECE,NBI}","PROD(pinj,ece36)","PROD(pinj,ece36)","C2:{ECE,NBI}",0.6983938192487688,FULL_RANK,True
M_P031,MAIN,1,1,"PROD(fs04,fs03da)","C2:{FS,FS}","PROD(fs04,fs03da)","PROD(fs04,fs03da)","C2:{FS,FS}",0.8226356796167755,FULL_RANK,True
M_P032,MAIN,1,1,"PROD(fs04,gasc)","C2:{FS,GAS}","PROD(fs04,gasc)","PROD(fs04,gasc)","C2:{FS,GAS}",0.890914650746774,FULL_RANK,True
M_P033,MAIN,1,1,"PROD(ip,fs03da)","C2:{FS,MAG}","PROD(ip,fs03da)","PROD(ip,fs03da)","C2:{FS,MAG}",0.6752820607988902,FULL_RANK,True
M_P034,MAIN,1,1,"PROD(fs04,pinj)","C2:{FS,NBI}","PROD(fs04,pinj)","PROD(fs04,pinj)","C2:{FS,NBI}",0.6186350186409635,FULL_RANK,True
M_P035,MAIN,1,1,"PROD(gasa,gasa)","C2:{GAS,GAS}","PROD(gasa,gasa)","PROD(gasa,gasa)","C2:{GAS,GAS}",0.9039380164236673,FULL_RANK,True
M_P036,MAIN,1,1,"PROD(bt,gasd)","C2:{GAS,MAG}","PROD(bt,gasd)","PROD(bt,gasd)","C2:{GAS,MAG}",0.864115888066937,FULL_RANK,True
M_P037,MAIN,1,1,"PROD(gasc,pinj)","C2:{GAS,NBI}","PROD(gasc,pinj)","PROD(gasc,pinj)","C2:{GAS,NBI}",0.770369708426711,FULL_RANK,True
M_P038,MAIN,1,1,"PROD(bt,bt)","C2:{MAG,MAG}","PROD(bt,bt)","PROD(bt,bt)","C2:{MAG,MAG}",0.74549733895133,FULL_RANK,True
M_P039,MAIN,1,1,"PROD(ip,pinj)","C2:{MAG,NBI}","PROD(ip,pinj)","PROD(ip,pinj)","C2:{MAG,NBI}",0.5905445032009655,FULL_RANK,True
M_P040,MAIN,1,1,"PROD(pinj,pinj_30l)","C2:{NBI,NBI}","PROD(pinj,pinj_30l)","PROD(pinj,pinj_30l)","C2:{NBI,NBI}",0.6460319722177063,FULL_RANK,True
M_P041,MAIN,1,1,"RATIO(cerqrott12,cerqtit10)",C3:CER|CER,"RATIO(cerqrott12,cerqtit10)","RATIO(cerqrott12,cerqtit10)",C3:CER|CER,0.6018301381970151,FULL_RANK,True
M_P042,MAIN,1,1,"RATIO(cerqrott3,prmtan_neped)",C3:CER|DEN,"RATIO(cerqrott3,prmtan_neped)","RATIO(cerqrott3,prmtan_neped)",C3:CER|DEN,0.6861960042291344,FULL_RANK,True
M_P043,MAIN,1,1,"RATIO(cerqtit8,ece22)",C3:CER|ECE,"RATIO(cerqtit8,ece22)","RATIO(cerqtit8,ece22)",C3:CER|ECE,0.5731262536116761,FULL_RANK,True
M_P044,MAIN,1,1,"RATIO(cerqtit8,ip)",C3:CER|MAG,"RATIO(cerqtit8,ip)","RATIO(cerqtit8,ip)",C3:CER|MAG,0.7620714614765582,FULL_RANK,True
M_P045,MAIN,1,1,"RATIO(prmtan_neped,cerqtit10)",C3:DEN|CER,"RATIO(prmtan_neped,cerqtit10)","RATIO(prmtan_neped,cerqtit10)",C3:DEN|CER,0.8597071735291368,FULL_RANK,True
M_P046,MAIN,1,1,"RATIO(prmtan_teped,prmtan_neped)",C3:DEN|DEN,"RATIO(prmtan_teped,prmtan_neped)","RATIO(prmtan_teped,prmtan_neped)",C3:DEN|DEN,1.0146618625611288,FULL_RANK,True
M_P047,MAIN,1,1,"RATIO(prmtan_neped,ece22)",C3:DEN|ECE,"RATIO(prmtan_neped,ece22)","RATIO(prmtan_neped,ece22)",C3:DEN|ECE,0.6505139554954743,FULL_RANK,True
M_P048,MAIN,1,1,"RATIO(prmtan_neped,bt)",C3:DEN|MAG,"RATIO(prmtan_neped,bt)","RATIO(prmtan_neped,bt)",C3:DEN|MAG,0.5019400463073656,FULL_RANK,True
M_P049,MAIN,1,1,"RATIO(ece16,cerqtit10)",C3:ECE|CER,"RATIO(ece16,cerqtit10)","RATIO(ece16,cerqtit10)",C3:ECE|CER,0.4801024362475679,FULL_RANK,True
M_P050,MAIN,1,1,"RATIO(ece21,prmtan_neped)",C3:ECE|DEN,"RATIO(ece21,prmtan_neped)","RATIO(ece21,prmtan_neped)",C3:ECE|DEN,0.5406478203295136,FULL_RANK,True
M_P051,MAIN,1,1,"RATIO(ece25,ece39)",C3:ECE|ECE,"RATIO(ece25,ece39)","RATIO(ece25,ece39)",C3:ECE|ECE,0.5223803596576309,FULL_RANK,True
M_P052,MAIN,1,1,"RATIO(ece39,bt)",C3:ECE|MAG,"RATIO(ece39,bt)","RATIO(ece39,bt)",C3:ECE|MAG,0.8311901564215651,FULL_RANK,True
M_P053,MAIN,1,1,"RATIO(fs03da,cerqtit10)",C3:FS|CER,"RATIO(fs03da,cerqtit10)","RATIO(fs03da,cerqtit10)",C3:FS|CER,0.7810138373768962,FULL_RANK,True
M_P054,MAIN,1,1,"RATIO(fs03da,prmtan_neped)",C3:FS|DEN,"RATIO(fs03da,prmtan_neped)","RATIO(fs03da,prmtan_neped)",C3:FS|DEN,0.8386051219580561,FULL_RANK,True
M_P055,MAIN,1,1,"RATIO(fs03da,ece22)",C3:FS|ECE,"RATIO(fs03da,ece22)","RATIO(fs03da,ece22)",C3:FS|ECE,0.7517976120486315,FULL_RANK,True
M_P056,MAIN,1,1,"RATIO(fs03da,bt)",C3:FS|MAG,"RATIO(fs03da,bt)","RATIO(fs03da,bt)",C3:FS|MAG,0.7113932297518052,FULL_RANK,True
M_P057,MAIN,1,1,"RATIO(gasc,cerqtit10)",C3:GAS|CER,"RATIO(gasc,cerqtit10)","RATIO(gasc,cerqtit10)",C3:GAS|CER,0.7954255812179433,FULL_RANK,True
M_P058,MAIN,1,1,"RATIO(gasc,prmtan_neped)",C3:GAS|DEN,"RATIO(gasc,prmtan_neped)","RATIO(gasc,prmtan_neped)",C3:GAS|DEN,0.7442076609277678,FULL_RANK,True
M_P059,MAIN,1,1,"RATIO(gasa,ece6)",C3:GAS|ECE,"RATIO(gasa,ece6)","RATIO(gasa,ece6)",C3:GAS|ECE,0.8586233215960999,FULL_RANK,True
M_P060,MAIN,1,1,"RATIO(gasd,bt)",C3:GAS|MAG,"RATIO(gasd,bt)","RATIO(gasd,bt)",C3:GAS|MAG,0.854475219459313,FULL_RANK,True
M_P061,MAIN,1,1,"RATIO(ip,cerqtit10)",C3:MAG|CER,"RATIO(ip,cerqtit10)","RATIO(ip,cerqtit10)",C3:MAG|CER,0.6248611467083587,FULL_RANK,True
M_P062,MAIN,1,1,"RATIO(bt,prmtan_neped)",C3:MAG|DEN,"RATIO(bt,prmtan_neped)","RATIO(bt,prmtan_neped)",C3:MAG|DEN,0.5587673598342694,FULL_RANK,True
M_P063,MAIN,1,1,"RATIO(ip,ece22)",C3:MAG|ECE,"RATIO(ip,ece22)","RATIO(ip,ece22)",C3:MAG|ECE,0.7189569521941315,FULL_RANK,True
M_P064,MAIN,1,1,"RATIO(ip,bt)",C3:MAG|MAG,"RATIO(ip,bt)","RATIO(ip,bt)",C3:MAG|MAG,0.856520875161032,FULL_RANK,True
M_P065,MAIN,1,1,"RATIO(pinj_33r,cerqtit10)",C3:NBI|CER,"RATIO(pinj_33r,cerqtit10)","RATIO(pinj_33r,cerqtit10)",C3:NBI|CER,0.8474688384151833,FULL_RANK,True
M_P066,MAIN,1,1,"RATIO(pinj_33r,prmtan_neped)",C3:NBI|DEN,"RATIO(pinj_33r,prmtan_neped)","RATIO(pinj_33r,prmtan_neped)",C3:NBI|DEN,0.8287186651526387,FULL_RANK,True
M_P067,MAIN,1,1,"RATIO(pinj,ece37)",C3:NBI|ECE,"RATIO(pinj,ece37)","RATIO(pinj,ece37)",C3:NBI|ECE,0.6521700693310696,FULL_RANK,True
M_P068,MAIN,1,1,"RATIO(pinj,bt)",C3:NBI|MAG,"RATIO(pinj,bt)","RATIO(pinj,bt)",C3:NBI|MAG,0.5936697841576974,FULL_RANK,True
M_P069,MAIN,1,1,RECIP(cerqtit10),C5:CER,RECIP(cerqtit10),RECIP(cerqtit10),C5:CER,0.6398297594457867,FULL_RANK,True
M_P070,MAIN,1,1,RECIP(prmtan_neped),C5:DEN,RECIP(prmtan_neped),RECIP(prmtan_neped),C5:DEN,0.5562561434127222,FULL_RANK,True
M_P071,MAIN,1,1,RECIP(ece39),C5:ECE,RECIP(ece39),RECIP(ece39),C5:ECE,0.7177284031739763,FULL_RANK,True
M_P072,MAIN,1,1,RECIP(bt),C5:MAG,RECIP(bt),RECIP(bt),C5:MAG,0.7412468479734918,FULL_RANK,True
M_P073,MAIN,1,1,LEVEL_RATE(cerqrott12|cerqtit8),C6:CER|CER,LEVEL_RATE(cerqrott12|cerqtit8),LEVEL_RATE(cerqrott12|cerqtit8),C6:CER|CER,0.9930834013247745,FULL_RANK,True
M_P074,MAIN,1,1,LEVEL_RATE(cerqrott12|ece33),C6:CER|ECE,LEVEL_RATE(cerqrott12|ece33),LEVEL_RATE(cerqrott12|ece33),C6:CER|ECE,0.978692785196694,FULL_RANK,True
M_P075,MAIN,1,1,LEVEL_RATE(cerqrott12|gasa),C6:CER|GAS,LEVEL_RATE(cerqrott12|gasa),LEVEL_RATE(cerqrott12|gasa),C6:CER|GAS,1.0074175394498046,FULL_RANK,True
M_P076,MAIN,1,1,LEVEL_RATE(cerqrott12|ip),C6:CER|MAG,LEVEL_RATE(cerqrott12|ip),LEVEL_RATE(cerqrott12|ip),C6:CER|MAG,0.9867907450113487,FULL_RANK,True
M_P077,MAIN,1,1,LEVEL_RATE(cerqrott12|pinj_15l),C6:CER|NBI,LEVEL_RATE(cerqrott12|pinj_15l),LEVEL_RATE(cerqrott12|pinj_15l),C6:CER|NBI,1.01689719783795,FULL_RANK,True
M_P078,MAIN,1,1,LEVEL_RATE(prmtan_neped|cerqtit6),C6:DEN|CER,LEVEL_RATE(prmtan_neped|cerqtit6),LEVEL_RATE(prmtan_neped|cerqtit6),C6:DEN|CER,1.0184682169539359,FULL_RANK,True
M_P079,MAIN,1,1,LEVEL_RATE(prmtan_neped|ece9),C6:DEN|ECE,LEVEL_RATE(prmtan_neped|ece9),LEVEL_RATE(prmtan_neped|ece9),C6:DEN|ECE,1.0176325006952864,FULL_RANK,True
M_P080,MAIN,1,1,LEVEL_RATE(prmtan_neped|gasc),C6:DEN|GAS,LEVEL_RATE(prmtan_neped|gasc),LEVEL_RATE(prmtan_neped|gasc),C6:DEN|GAS,1.0190429444880362,FULL_RANK,True
M_P081,MAIN,1,1,LEVEL_RATE(prmtan_neped|ip),C6:DEN|MAG,LEVEL_RATE(prmtan_neped|ip),LEVEL_RATE(prmtan_neped|ip),C6:DEN|MAG,1.01723643949892,FULL_RANK,True
M_P082,MAIN,1,1,LEVEL_RATE(prmtan_teped|pinj_15l),C6:DEN|NBI,LEVEL_RATE(prmtan_teped|pinj_15l),LEVEL_RATE(prmtan_teped|pinj_15l),C6:DEN|NBI,1.0174014051287206,FULL_RANK,True
M_P083,MAIN,1,1,LEVEL_RATE(ece14|cerqtit8),C6:ECE|CER,LEVEL_RATE(ece14|cerqtit8),LEVEL_RATE(ece14|cerqtit8),C6:ECE|CER,1.0083428065831446,FULL_RANK,True
M_P084,MAIN,1,1,LEVEL_RATE(ece16|ece35),C6:ECE|ECE,LEVEL_RATE(ece16|ece35),LEVEL_RATE(ece16|ece35),C6:ECE|ECE,1.0003424924259317,FULL_RANK,True
M_P085,MAIN,1,1,LEVEL_RATE(ece6|gasb),C6:ECE|GAS,LEVEL_RATE(ece6|gasb),LEVEL_RATE(ece6|gasb),C6:ECE|GAS,1.0129070370584043,FULL_RANK,True
M_P086,MAIN,1,1,LEVEL_RATE(ece16|ip),C6:ECE|MAG,LEVEL_RATE(ece16|ip),LEVEL_RATE(ece16|ip),C6:ECE|MAG,0.9808538716065032,FULL_RANK,True
M_P087,MAIN,1,1,LEVEL_RATE(ece14|pinj_33r),C6:ECE|NBI,LEVEL_RATE(ece14|pinj_33r),LEVEL_RATE(ece14|pinj_33r),C6:ECE|NBI,1.0164496533787313,FULL_RANK,True
