signal_id,scientific_definition,units,reconstruction_family,family_evidence_class,direct_upstream,indirect_upstream,shared_dependencies,unresolved_dependencies,ip_appears_upstream,ip_evidence_note,evidence_source,lineage_status,suitable_for_target_independence_decision
aminor,Plasma minor radius (EFIT),m,EFIT,LOCAL_DOCUMENTED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
area,Plasma poloidal cross-sectional area (EFIT),m^2,EFIT,LOCAL_DOCUMENTED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
betan,Normalised beta,1,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",BY_DEFINITION_EXTERNAL,standard definition contains I_p explicitly,units registry description + provider group,LINEAGE_PARTIAL,False
drsep,Separatrix-to-separatrix distance (upper/lower balance),m,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
kappa,Plasma elongation,1,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
li,Normalised internal inductance,1,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
q95,Safety factor at the 95% flux surface,1,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",BY_DEFINITION_EXTERNAL,standard definition contains I_p explicitly,units registry description + provider group,LINEAGE_PARTIAL,False
rmaxis,Magnetic axis major radius,m,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
rsurf,"Plasma boundary geometric centre, major radius",m,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
tribot,Bottom triangularity,1,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
tritop,Top triangularity,1,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
volume,Plasma volume,m^3,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
zcur,Vertical position of the plasma current centroid,m,EFIT,STRONGLY_INFERRED,efit_equilibrium_reconstruction,UNRESOLVED (EFIT inputs not documented),all 15 share one reconstruction and one 20.0 ms time base,"EFIT settings, constraints, inputs, kinetic constraint status",STRONGLY_INFERRED_EXTERNAL,EFIT is normally I_p-constrained (external convention); not verified here,units registry description + provider group,LINEAGE_PARTIAL,False
