signal,signal_index,include_primary,include_sibling_sensitivity,exclusion_rule,exclusion_reason,provenance_evidence,evidence_class,origin_class,units,units_status,family,native_dt_ms,resolution_flag,aliasing_flag,description,notes
vsurf,5,False,False,R1_target_itself,the target itself,S7.1 origin classification + units registry,STRONGLY_INFERRED,DIRECT_MEASUREMENT,V,documented,magnetics,20.0,UPSTREAM_UPSAMPLED,,Surface loop voltage,
aminor,6,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,LOCAL_DOCUMENTED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Plasma minor radius (EFIT),
area,7,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,LOCAL_DOCUMENTED,EQUILIBRIUM_DERIVED,m^2,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Plasma poloidal cross-sectional area (EFIT),
betan,8,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Normalised beta,
drsep,9,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Separatrix-to-separatrix distance (upper/lower balance),
kappa,10,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Plasma elongation,
li,11,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Normalised internal inductance,
q95,12,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Safety factor at the 95% flux surface,
rmaxis,13,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Magnetic axis major radius,
rsurf,14,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,"Plasma boundary geometric centre, major radius",
tribot,15,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Bottom triangularity,
tritop,16,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Top triangularity,
volume,17,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m^3,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Plasma volume,
zcur,18,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Vertical position of the plasma current centroid,
