manuscript,line_or_section,placeholder,expected_artifact,candidate_source_path,status,recommended_value_or_action,confidence,notes
SIR_paper_2026-09-02.pdf,Results 1.5 / Fig. 4b / Supplement S7.8,(no literal \releasepending in repo; gap identified by artifact comparison),canonical q_rec result,05_DIII_D_RECONSTRUCTION/12_Six_Fold_Target_Cross_Fitting/E2_1_CROSSFITTED_METRICS.json,VERIFIED,"Replace the entire I_p / 141-coordinate / 7-development / 55-external result with the density cross-fitted result: 0.189 vs 0.216, Delta_1 = -0.0273, six folds, union 35, mean Jaccard 0.285244.",HIGH,The staged manuscript reports a branch this repository retired on 2026-09-02 for target-provenance leakage and for having no skill over persistence.
SIR_paper_2026-09-02.pdf,Results 1.1,(no literal \releasepending in repo; gap identified by artifact comparison),claim-core / operational-epoch architecture,05_DIII_D_RECONSTRUCTION/18_Machine_Readable_Lineage/SIR_ARCHITECTURE_MAP.md,VERIFIED,"Adopt K_q^(e) = (K^claim, K^op,(e)) and replace the blanket validation-data rule with the protected-evidence rule.",HIGH,The staged PDF carries the flat 8-tuple contract.
SIR_paper_2026-09-02.pdf,Supplement S7.1,(no literal \releasepending in repo; gap identified by artifact comparison),DIII-D candidate discharge pool and inclusion criteria,03_DIII_D_SOURCE_OBJECT/observational_object_S7_1/shot_inventory.csv,VERIFIED,Cite the frozen shot inventory and the cohort-provenance ledger.,HIGH,
SIR_paper_2026-09-02.pdf,Supplement S7.1,(no literal \releasepending in repo; gap identified by artifact comparison),processing-era mapping and boundary,05_DIII_D_RECONSTRUCTION/11_Descendant_Case_C_Contract/E2_0_protocol/outer_fold_assignment.csv,VERIFIED,"Era assignment is frozen per discharge: 35 earlier, 27 later.",HIGH,
SIR_paper_2026-09-02.pdf,Supplement S7.1,(no literal \releasepending in repo; gap identified by artifact comparison),cohort-freeze chronology,03_DIII_D_SOURCE_OBJECT/observational_object_S7_1/reconciliation_final/S7_1_REVISION_LEDGER.md,VERIFIED,Cite the S7.1 revision ledger.,MEDIUM,
SIR_paper_2026-09-02.pdf,Supplement S7.3,(no literal \releasepending in repo; gap identified by artifact comparison),descriptive search algorithm and version,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/canonical_run/D3D_STRUCTURAL_SEARCH_PROVENANCE.md,VERIFIED,Cite the structural-search provenance document.,MEDIUM,Confirm it states budget and stopping reason explicitly.
SIR_paper_2026-09-02.pdf,Supplement S7.3,(no literal \releasepending in repo; gap identified by artifact comparison),descriptive explored-frontier count,,MISSING,No explored-frontier record exists for the q_desc search.,HIGH,The q_rec frontier is fully recorded; the q_desc equivalent is not.
SIR_paper_2026-09-02.pdf,Supplement S7.3,(no literal \releasepending in repo; gap identified by artifact comparison),descriptive random / restart state,04_DIII_D_DESCRIPTIVE/D3D-SIR-62-ALIGNED-V1/canonical_run/canonical_run_manifest.json,AMBIGUOUS,Check the run manifest for a seed field; none was located by name.,MEDIUM,
SIR_paper_2026-09-02.pdf,Supplement S7,(no literal \releasepending in repo; gap identified by artifact comparison),reconstruction target-selection manifest,05_DIII_D_RECONSTRUCTION/01_Target_Selection_and_02_Information_Boundary/reconciliation_source_resolution/S7_3_FREEZE_V2.json,VERIFIED,"Target ranking, feasibility filters and the selected density target are frozen.",HIGH,
SIR_paper_2026-09-02.pdf,Supplement S7,(no literal \releasepending in repo; gap identified by artifact comparison),reconstruction search-frontier records,05_DIII_D_RECONSTRUCTION/05_Parent_Development_Search/one_seed_primary_v2/explored_support_registry.csv,VERIFIED,"162,845 explored supports, with per-candidate evaluations and proposal provenance.",HIGH,
SIR_paper_2026-09-02.pdf,Supplement S7,(no literal \releasepending in repo; gap identified by artifact comparison),reconstruction search budget and stopping reason,05_DIII_D_RECONSTRUCTION/11_Descendant_Case_C_Contract/E2_0_protocol/EPOCH2_SEARCH_BUDGET.json,VERIFIED,"300,000 per fold, 1,800,000 total; 765,758 proposals used.",HIGH,
SIR_paper_2026-09-02.pdf,Supplement S7,(no literal \releasepending in repo; gap identified by artifact comparison),parent qualification numerical gates,05_DIII_D_RECONSTRUCTION/07_Protected_Qualification_FAILURE/S7_10_FREEZE.json,VERIFIED,"gate_results: V3 FAIL, V6 FAIL, Omega_rec EMPTY.",HIGH,
SIR_paper_2026-09-02.pdf,Supplement S7,(no literal \releasepending in repo; gap identified by artifact comparison),descendant qualification gate-by-gate outcomes,05_DIII_D_RECONSTRUCTION/12_Six_Fold_Target_Cross_Fitting/E2_1_GATE_TABLE.json,VERIFIED,V1-V10 plus V-RANGE all recorded.,HIGH,
SIR_paper_2026-09-02.pdf,Supplement S7,(no literal \releasepending in repo; gap identified by artifact comparison),paired-bootstrap uncertainty for Delta_1,,MISSING,"Per-discharge Delta_j is available so the bootstrap is computable, but no frozen interval artifact exists.",HIGH,Phase 17.I.
SIR_paper_2026-09-02.pdf,Supplement S7,(no literal \releasepending in repo; gap identified by artifact comparison),era-stratification definition and status,05_DIII_D_RECONSTRUCTION/12_Six_Fold_Target_Cross_Fitting/E2_1_CROSSFITTED_METRICS.json,VERIFIED,"era block: +0.0076 earlier (n=35), -0.0726 later (n=27), V6 PASS_WITH_QUALIFICATION.",HIGH,
SIR_paper_2026-09-02.pdf,Supplement S7.5,(no literal \releasepending in repo; gap identified by artifact comparison),spline and RTS run identifiers,,MISSING,Keep the provisional wording or drop the variants.,HIGH,
SIR_paper_2026-09-02.pdf,Methods,(no literal \releasepending in repo; gap identified by artifact comparison),repository / archive identifiers,00_START_HERE/ACCESS_AND_LICENSE.md,PENDING,Assign a DOI or archive identifier for this package.,MEDIUM,
