artifact_id,path,artifact_type,role,source_of_truth_level,generated_or_primary,upstream_artifact_id,git_commit_if_known,file_hash,mtime,size,resolved,notes
A001,D:\sir-web\Paper Examples\Relational Coordinates for Multimodal Plasma Observations\canonical_d3d_62_shot_provenance\D3D_CANONICAL_DATA_AND_PREPROCESSING_PROVENANCE.md,documentation,authoritative preprocessing/cohort provenance ledger,DOCUMENTATION,primary,,bc123d63b5e49d9c160808fdc97ba0442ce4bdd0 (sir-web HEAD recorded in A001; NOT re-verified here),222dfaf085418849839d439e9b0ff6890af60a3663ed1978f254c706ec8eec39,2026-08-04T19:54:32.373960+00:00,30518,True,
A002,D:\sir-web\Paper Examples\Relational Coordinates for Multimodal Plasma Observations\canonical_d3d_62_shot_provenance\d3d_discharge_ledger.csv,table,one row per canonical discharge (62),DERIVED,generated,A001,bc123d63b5e49d9c160808fdc97ba0442ce4bdd0 (sir-web HEAD recorded in A001; NOT re-verified here),4e7d6275abdd0b23423f5862ad9f092de235509a3ee9a7572f0fd608b6f6d67e,2026-08-04T19:52:22.514109+00:00,79463,True,
A003,D:\sir-web\Paper Examples\Relational Coordinates for Multimodal Plasma Observations\canonical_d3d_62_shot_provenance\build_d3d_discharge_ledger.py,code,ledger builder; inspects local npz,PRIMARY,primary,,bc123d63b5e49d9c160808fdc97ba0442ce4bdd0 (sir-web HEAD recorded in A001; NOT re-verified here),e8f377033825c80d4747a989bf79931bf6e6843c22283cb2740b97571bd255a4,2026-08-04T19:52:10.947151+00:00,14848,True,
A004,D:\sir-web\providers\diiid_elm_data_provider.py,code,full 95-signal provider; authoritative signal-group documentation,PRIMARY,primary,,bc123d63b5e49d9c160808fdc97ba0442ce4bdd0 (sir-web HEAD recorded in A001; NOT re-verified here),842ef7fc2d25234144f7f5e3c8622aa3af6b7f4146813f6d91c0aec0e5561b36,2026-07-16T21:21:06.605697+00:00,14966,True,
A005,D:\sir-web\Paper Examples\Relational Coordinates for Multimodal Plasma Observations\diiid_elm_data_provider.py,code,"paper/UI provider; 8 admitted signals, TARGET_N=1000",PRIMARY,primary,,bc123d63b5e49d9c160808fdc97ba0442ce4bdd0 (sir-web HEAD recorded in A001; NOT re-verified here),0e0681a4a80fef4e9e92dcd793845e2b2f0961256dcfb90f9872f8997b2d4af5,2026-08-14T16:10:08.212255+00:00,44182,True,
A006,D:\sir-web\Paper Examples\Relational Coordinates for Multimodal Plasma Observations\SIR_to_dFL_provider_on_ELM_shots_with_phaseders.py,code,authoritative ADMISSIBLE_SHOTS list (62 ids),PRIMARY,primary,,bc123d63b5e49d9c160808fdc97ba0442ce4bdd0 (sir-web HEAD recorded in A001; NOT re-verified here),d988ecf00b2a77c558e1ec3f840edd0b11577e3855366c63cf88b0d7c41c5556,2026-07-14T23:08:09.865300+00:00,12817,True,
A007,D:\SIR_paper\DIIID_example\data\resampled_data_v6,dataset_directory,62 shot npz archives + metadata json; 95 signals each,PRIMARY,primary,,,2159e33b0fc1e5118b77c1da2fb4830a03dcc450fabdd94c74de8c5bfa3ad003,2026-07-02T21:50:04.971322+00:00,1178892183,True,
A008,D:\SIR_paper\DIIID_example\Figure_data\d3d_reconstruction_summary.json,summary_export,retired q_rec summary; historical lineage only,LEGACY_RESULT,generated,A012,,a6aa4347e6ae97a15d633851e2ec1b02c6b6074464f464f8fe30d5e3b47deb41,2026-08-24T22:21:46.164130+00:00,4520,True,
A009,D:\SIR_paper\DIIID_example\Figure_data\d3d_description_support.csv,summary_export,q_desc 7-coordinate support,SUMMARY_EXPORT,generated,,,5e8158c0d7f59b921ef07da2a4b9baf400355471f4e4efa62ffb704b98f5c92a,2026-08-24T22:21:46.163119+00:00,480,True,
A010,D:\SIR_paper\DIIID_example\Figure_data\d3d_reconstruction_external_55.csv,summary_export,retired q_rec external table,LEGACY_RESULT,generated,A012,,fadcfee209b74f149d84f125aae0d183603ac6b808a5cf458d9192ee0eba8854,2026-08-24T22:21:46.164130+00:00,6010,True,
A011,D:\sir-web\Paper Examples\Relational Coordinates for Multimodal Plasma Observations\canonical_d3d_62_shot_run_v1\canonical_run_manifest.json,manifest,canonical q_desc run package manifest,PRIMARY,primary,,bc123d63b5e49d9c160808fdc97ba0442ce4bdd0 (sir-web HEAD recorded in A001; NOT re-verified here),44fa7ff61ee770613933a89582d2ecc0f9334959bd448e67cb9cece977793851,2026-08-05T18:08:02.915811+00:00,4251,True,
A012,D:\SIR_paper\DIIID_example\fig6data\RETIREMENT_RECORD.json,audit_record,q_rec retirement record (provenance leakage + no skill),DOCUMENTATION,generated,,,06274ed9bd1f4d363f0b9f4ff8c181ef321209757d1e3a53bcd788e53b462a1b,2026-09-02T04:48:03.049679+00:00,2227,True,
A013,D:\SIR_paper\DIIID_example\Figure6_qualification_audit\FIGURE6_QUALIFICATION_AUDIT_REPORT.md,audit_record,prior Figure 6 qualification audit,DOCUMENTATION,generated,,,5579c6d14890641a7ccb9cf28dee2ce97a9eda6c6353db1dd3cf58fcd3cea78a,2026-09-02T04:45:35.859202+00:00,9550,True,
A014,D:\SIR_paper\DIIID_example\Plotter\freeze_d3d_figure_data.py,code,generated the three Figure_data summary exports,PRIMARY,primary,,,5b72984b56b09f29ad7707c493ad66764a78163ed0e9cf7239ebbfe326ad9533,2026-08-24T22:15:34.252618+00:00,9945,True,
A015,D:\sir-web\Paper Examples\Relational Coordinates for Multimodal Plasma Observations\canonical_d3d_62_shot_run_v1\d3d_discharge_coefficients.csv,table,q_desc per-discharge coefficients,DERIVED,generated,A011,bc123d63b5e49d9c160808fdc97ba0442ce4bdd0 (sir-web HEAD recorded in A001; NOT re-verified here),154e9812dbda2928b97d24eec75493a03a35517424a851c02cabc2257d12c0bb,2026-08-05T18:06:37.920910+00:00,28497,True,
