signal_index,signal_id,canonical_name,archive_name,dalia_name,aliases,signal_group,scientific_description,units,units_status,units_evidence_class,dimensional_signature,semantic_type,is_dimensionless,sign_convention,source_classification,origin_evidence_class,direct_or_derived_status,source_path,available_shots,native_dt_median,finite_fraction_min,provenance_status,notes
1,bt,bt,bt_data / bt_times,bt,,magnetics,Toroidal magnetic field,T,resolved_partial,LOCAL_DOCUMENTED (units registry),M T^-2 I^-1,resolved_partial,False,signed_or_unknown,DIRECT_MEASUREMENT,STRONGLY_INFERRED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,1.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"standard magnetic diagnostic with a documented physical unit; the local record does not document the sensor or compensation chain, so this remains inferred (U006)"
2,ip,ip,ip_data / ip_times,ip,,magnetics,Plasma current,A,resolved_spelling,LOCAL_DOCUMENTED (units registry),I,resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,STRONGLY_INFERRED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,1.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"standard magnetic diagnostic with a documented physical unit; the local record does not document the sensor or compensation chain, so this remains inferred (U006)"
3,pcbcoil,pcbcoil,pcbcoil_data / pcbcoil_times,pcbcoil,,magnetics,Plasma control B-coil signal (uncalibrated),,uncalibrated,LOCAL_DOCUMENTED (units registry),UNIT_LESS_UNCALIBRATED,uncalibrated,False,signed_or_unknown,DIRECT_MEASUREMENT,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.9999999974752427,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"upstream units attribute is 'raw' -- uncalibrated digitiser output, i.e. an unprocessed sensor channel"
4,pcdiamag3,pcdiamag3,pcdiamag3_data / pcdiamag3_times,pcdiamag3,,magnetics,Diamagnetic loop signal (uncalibrated),,uncalibrated,LOCAL_DOCUMENTED (units registry),UNIT_LESS_UNCALIBRATED,uncalibrated,False,signed_or_unknown,DIRECT_MEASUREMENT,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.9999999974752427,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"upstream units attribute is 'raw' -- uncalibrated digitiser output, i.e. an unprocessed sensor channel"
5,vsurf,vsurf,vsurf_data / vsurf_times,vsurf,,magnetics,Surface loop voltage,V,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,documented,False,signed_or_unknown,DIRECT_MEASUREMENT,STRONGLY_INFERRED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"standard magnetic diagnostic with a documented physical unit; the local record does not document the sensor or compensation chain, so this remains inferred (U006)"
6,aminor,aminor,aminor_data / aminor_times,aminor,,equilibrium_shape,Plasma minor radius (EFIT),m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,nonnegative,EQUILIBRIUM_DERIVED,LOCAL_DOCUMENTED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,description names EFIT explicitly
7,area,area,area_data / area_times,area,,equilibrium_shape,Plasma poloidal cross-sectional area (EFIT),m^2,documented,LOCAL_DOCUMENTED (units registry),L^2,documented,False,nonnegative,EQUILIBRIUM_DERIVED,LOCAL_DOCUMENTED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,description names EFIT explicitly
8,betan,betan,betan_data / betan_times,betan,,equilibrium_shape,Normalised beta,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
9,drsep,drsep,drsep_data / drsep_times,drsep,,equilibrium_shape,Separatrix-to-separatrix distance (upper/lower balance),m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
10,kappa,kappa,kappa_data / kappa_times,kappa,,equilibrium_shape,Plasma elongation,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,nonnegative,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
