signal,signal_index,include_primary,include_sibling_sensitivity,exclusion_rule,exclusion_reason,provenance_evidence,evidence_class,origin_class,units,units_status,family,native_dt_ms,resolution_flag,aliasing_flag,description,notes
bt,1,True,True,,,S7.1 origin classification + units registry,STRONGLY_INFERRED,DIRECT_MEASUREMENT,T,resolved_partial,magnetics,1.0,,ALIASING_RISK,Toroidal magnetic field,
ip,2,True,True,,,S7.1 origin classification + units registry,STRONGLY_INFERRED,DIRECT_MEASUREMENT,A,resolved_spelling,magnetics,1.0,,ALIASING_RISK,Plasma current,
pcbcoil,3,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,,uncalibrated,magnetics,0.9999999974752428,,,Plasma control B-coil signal (uncalibrated),uncalibrated raw digitiser output; admissible as a predictor with permanent UNCALIBRATED_SIGNAL type
pcdiamag3,4,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,,uncalibrated,magnetics,0.9999999974752428,,,Diamagnetic loop signal (uncalibrated),uncalibrated raw digitiser output; admissible as a predictor with permanent UNCALIBRATED_SIGNAL type
vsurf,5,False,False,R1_target_itself,the target itself,S7.1 origin classification + units registry,STRONGLY_INFERRED,DIRECT_MEASUREMENT,V,documented,magnetics,20.0,UPSTREAM_UPSAMPLED,,Surface loop voltage,
aminor,6,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,LOCAL_DOCUMENTED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Plasma minor radius (EFIT),
area,7,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,LOCAL_DOCUMENTED,EQUILIBRIUM_DERIVED,m^2,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Plasma poloidal cross-sectional area (EFIT),
betan,8,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Normalised beta,
drsep,9,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Separatrix-to-separatrix distance (upper/lower balance),
kappa,10,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Plasma elongation,
