expected,searched,status,impact,recommendation
Current main manuscript TeX source,"whole D:/SIR_paper tree, all file types, plus content search for the paper title and for every .tex/.docx/.zip",MISSING,"Phases 2, 9 and 15 cannot run as specified: no sections, figure environments, \includegraphics, tables or \releasepending placeholders can be parsed. The figure allow-list was instead derived from on-disk assets and verified by tracing each script's declared output stem.",Supply the TeX (or an Overleaf export) and re-run Phase 2.
Current Supplementary Information TeX source,same,MISSING,The only Supplement artifact is Supplementary Notes S1-S8 embedded in the staged PDF.,Supply the Supplement TeX.
\releasepending{...} placeholders,"whole tree, all file types",NONE_FOUND,No literal placeholders exist. The equivalent gaps were identified by comparing the staged manuscript against the canonical artifacts and are listed in unresolved_release_fields.csv.,Re-run Phase 15 once TeX is available.
q_desc explored-frontier record,"canonical_d3d_62_shot_run_v1, Coefficient_conditioning",MISSING,"The descriptive search frontier count, budget and stopping reason are not recorded as a machine-readable artifact, unlike the q_rec frontier (162,845 supports, fully recorded).","Export the q_desc search frontier, or state in the Supplement that it was not retained."
Frozen paired-bootstrap interval for Delta_1,05_DIII_D_RECONSTRUCTION/12_Six_Fold_Target_Cross_Fitting,MISSING,"Per-discharge Delta_j IS present, so the interval is computable, but no frozen interval artifact exists. Phase 17.I.","Compute and freeze it, or report the point estimate only."
Spline / RTS numerical-realization run manifests,canonical_d3d_62_shot_run_v1,MISSING,The manuscript already marks these provisional.,Keep the provisional wording or drop the variants.
Effective degrees of freedom 99 -> 10.6,whole tree,MISSING,Never reproduced from primary artifacts; belongs to the retired branch.,Remove from the manuscript.
d3d_*.png / d3d_*.svg Supplement raster variants,Correction_audit/figures,MISSING_RASTER_VARIANTS,None: the .pdf assets exist and are bundled.,Regenerate if a raster Supplement is required.
coefficient_change_vs_rank_removed.pdf and two siblings (un-prefixed),Correction_audit/figures,MISSING,Listed in the Correction_audit manifest but absent; 74 of 77 entries reproduce. No numerical result affected.,Regenerate or amend that manifest.
environment.yml / requirements.txt,whole tree,GENERATED_INSTEAD,None. 09_REPRODUCIBILITY/environment/ records the exact interpreter and package versions captured from the working virtual environment.,Commit the generated requirements file alongside the code.
